ampl wV fracEsq wz_sq w_min w_plus
0.700000 0.960000 1.000000 0.000054 0.000011 2.407794
0.700000 0.980000 1.000000 0.000204 0.000042 2.407762
0.700000 1.000000 1.000000 0.000046 0.000010 2.407795
0.700000 1.020000 1.000000 0.000161 0.000034 2.407771
0.700000 1.040000 1.000000 0.000126 0.000026 2.407779
0.700000 1.060000 1.000000 0.000070 0.000015 2.407790
0.700000 1.080000 1.000000 0.000199 0.000041 2.407763
0.700000 1.100000 1.000000 0.000038 0.000008 2.407797
0.700000 1.120000 1.000000 0.000179 0.000037 2.407768
0.700000 1.140000 1.000000 0.000104 0.000022 2.407783
0.700000 1.160000 1.000000 0.000089 0.000019 2.407786
0.700000 1.180000 1.000000 0.000189 0.000039 2.407766
0.700000 1.200000 1.000000 0.000036 0.000008 2.407797
0.700000 1.220000 1.000000 0.000193 0.000040 2.407765
0.700000 1.240000 1.000000 0.000083 0.000017 2.407788
0.700000 1.260000 1.000000 0.000111 0.000023 2.407782
0.700000 1.280000 1.000000 0.000174 0.000036 2.407769
0.700000 1.300000 1.000000 0.000040 0.000008 2.407796
0.700000 1.320000 1.000000 0.000202 0.000042 2.407763
0.700000 1.340000 1.000000 0.000064 0.000013 2.407791
0.700000 1.360000 1.000000 0.000133 0.000028 2.407777
0.700000 1.380000 1.000000 0.000155 0.000032 2.407773
0.700000 1.400000 1.000000 0.000050 0.000010 2.407794
0.700000 1.420000 1.000000 0.000205 0.000043 2.407762
0.700000 1.440000 1.000000 0.000050 0.000010 2.407794
0.700000 1.460000 1.000000 0.000155 0.000032 2.407773
0.700000 1.480000 1.000000 0.000133 0.000028 2.407777
0.700000 1.500000 1.000000 0.000064 0.000013 2.407791
0.700000 1.520000 1.000000 0.000202 0.000042 2.407763
0.700000 1.540000 1.000000 0.000040 0.000008 2.407796
0.700000 1.560000 1.000000 0.000174 0.000036 2.407769
0.700000 1.580000 1.000000 0.000111 0.000023 2.407782
0.700000 1.600000 1.000000 0.000083 0.000017 2.407788
0.700000 1.620000 1.000000 0.000193 0.000040 2.407765
0.700000 1.640000 1.000000 0.000036 0.000008 2.407797
0.700000 1.660000 1.000000 0.000189 0.000039 2.407766
0.700000 1.680000 1.000000 0.000089 0.000019 2.407786
0.700000 1.700000 1.000000 0.000104 0.000022 2.407783
0.700000 1.720000 1.000000 0.000179 0.000037 2.407768
0.700000 1.740000 1.000000 0.000038 0.000008 2.407797
0.700000 1.760000 1.000000 0.000199 0.000041 2.407763
0.700000 1.780000 1.000000 0.000070 0.000015 2.407790
0.700000 1.800000 1.000000 0.000126 0.000026 2.407779
0.700000 1.820000 1.000000 0.000161 0.000034 2.407771
0.700000 1.840000 1.000000 0.000046 0.000010 2.407795
0.700000 1.860000 1.000000 0.000204 0.000042 2.407762
0.700000 1.880000 1.000000 0.000054 0.000011 2.407794
0.700000 1.900000 0.990000 0.000148 0.000031 2.407774
0.700000 1.920000 1.000000 0.000141 0.000029 2.407776
0.700000 1.940000 0.990000 0.000059 0.000012 2.407793
0.700000 1.960000 1.000000 0.000203 0.000042 2.407763
0.700000 1.980000 0.990000 0.000043 0.000009 2.407796
0.700000 2.000000 0.990000 0.000168 0.000035 2.407770
0.700000 2.020000 0.990000 0.000119 0.000025 2.407780
0.700000 2.040000 0.990000 0.000076 0.000016 2.407789
0.700000 2.060000 0.990000 0.000197 0.000041 2.407764
0.700000 2.080000 0.980000 0.000037 0.000008 2.407797
0.700000 2.100000 0.980000 0.000184 0.000038 2.407766
0.700000 2.120000 0.980000 0.000096 0.000020 2.407785
0.700000 2.140000 0.980000 0.000096 0.000020 2.407785
0.700000 2.160000 0.980000 0.000184 0.000038 2.407766
0.700000 2.180000 0.980000 0.000037 0.000008 2.407797
0.700000 2.200000 0.980000 0.000197 0.000041 2.407764
0.700000 2.220000 0.980000 0.000076 0.000016 2.407789
0.700000 2.240000 0.980000 0.000119 0.000025 2.407780
0.700000 2.260000 0.970000 0.000168 0.000035 2.407770
0.700000 2.280000 0.970000 0.000043 0.000009 2.407796
0.700000 2.300000 0.970000 0.000203 0.000042 2.407763
0.700000 2.320000 0.970000 0.000059 0.000012 2.407793
0.700000 2.340000 0.960000 0.000141 0.000029 2.407776
0.700000 2.360000 0.940000 0.000148 0.000031 2.407774
0.700000 2.380000 0.670000 0.000054 0.000011 2.407794
0.700000 2.400000 0.810000 0.000204 0.000042 2.407762
0.700000 2.420000 0.940000 0.000046 0.000010 2.407795
0.700000 2.440000 0.970000 0.000161 0.000034 2.407771
0.700000 2.460000 0.970000 0.000126 0.000026 2.407779
0.700000 2.480000 0.970000 0.000070 0.000015 2.407790
