e_rnd,avg_e_rnd,m_rnd,avg_m_rnd,e_low,avg_e_low,m_low,avg_m_low,e_hig,avg_e_hig,m_hig,avg_m_hig
-1.7280250000000001e+00,-1.5425634374999997e+00,9.1401250000000001e-01,6.9499390625000002e-01,-1.7280250000000001e+00,-1.7642443750000001e+00,9.1401250000000001e-01,9.2023453124999988e-01,-1.7280250000000001e+00,-1.5197828125000001e+00,9.1401250000000001e-01,6.2591609375000012e-01
-1.7587750000000000e+00,-1.5452327160493824e+00,9.2546249999999997e-01,6.9783919753086421e-01,-1.7587750000000000e+00,-1.7641768518518519e+00,9.2546249999999997e-01,9.2029907407407385e-01,-1.7587750000000000e+00,-1.5227333333333335e+00,9.2546249999999997e-01,6.2961419753086434e-01
-1.7184999999999999e+00,-1.5473457317073167e+00,9.1633750000000003e-01,7.0050381097560965e-01,-1.7184999999999999e+00,-1.7636198170731707e+00,9.1633750000000003e-01,9.2025076219512170e-01,-1.7184999999999999e+00,-1.5251207317073172e+00,9.1633750000000003e-01,6.3311082317073175e-01
-1.7093750000000001e+00,-1.5492978915662647e+00,9.1397499999999998e-01,7.0307575301204817e-01,-1.7093750000000001e+00,-1.7629662650602409e+00,9.1397499999999998e-01,9.2017515060240929e-01,-1.7093750000000001e+00,-1.5273406626506025e+00,9.1397499999999998e-01,6.3649472891566272e-01
-1.8540749999999999e+00,-1.5529261904761900e+00,9.5668750000000002e-01,7.0609494047619048e-01,-1.8540749999999999e+00,-1.7640508928571428e+00,9.5668750000000002e-01,9.2060982142857117e-01,-1.8540749999999999e+00,-1.5312303571428574e+00,9.5668750000000002e-01,6.4030654761904771e-01
-1.8637999999999999e+00,-1.5565835294117643e+00,9.6533749999999996e-01,7.0914485294117646e-01,-1.8637999999999999e+00,-1.7652244117647058e+00,9.6533749999999996e-01,9.2113602941176442e-01,-1.8637999999999999e+00,-1.5351429411764708e+00,9.6533749999999996e-01,6.4413044117647067e-01
-1.8097250000000000e+00,-1.5595270348837202e+00,9.4896249999999993e-01,7.1193343023255817e-01,-1.8097250000000000e+00,-1.7657418604651161e+00,9.4896249999999993e-01,9.2145959302325553e-01,-1.8097250000000000e+00,-1.5383357558139534e+00,9.4896249999999993e-01,6.4767500000000000e-01
-1.7736000000000001e+00,-1.5619876436781601e+00,9.3081249999999993e-01,7.1444928160919541e-01,-1.7736000000000001e+00,-1.7658321839080455e+00,9.3081249999999993e-01,9.2156709770114908e-01,-1.7736000000000001e+00,-1.5410399425287356e+00,9.3081249999999993e-01,6.5092945402298852e-01
-1.7666750000000000e+00,-1.5643136363636356e+00,9.3132499999999996e-01,7.1691377840909098e-01,-1.7666750000000000e+00,-1.7658417613636359e+00,9.3132499999999996e-01,9.2167798295454517e-01,-1.7666750000000000e+00,-1.5436039772727270e+00,9.3132499999999996e-01,6.5411576704545460e-01
-1.7546250000000001e+00,-1.5664519662921341e+00,9.2830000000000001e-01,7.1928890449438199e-01,-1.7546250000000001e+00,-1.7657157303370783e+00,9.2830000000000001e-01,9.2175238764044909e-01,-1.7546250000000001e+00,-1.5459749999999999e+00,9.2830000000000001e-01,6.5719648876404502e-01
-1.7181000000000000e+00,-1.5681369444444435e+00,9.0694999999999992e-01,7.2137402777777770e-01,-1.7181000000000000e+00,-1.7651866666666662e+00,9.0694999999999992e-01,9.2158791666666628e-01,-1.7181000000000000e+00,-1.5478874999999996e+00,9.0694999999999992e-01,6.5997152777777790e-01
-1.7467750000000002e+00,-1.5700999999999994e+00,9.1930000000000012e-01,7.2354903846153840e-01,-1.7467750000000002e+00,-1.7649843406593404e+00,9.1930000000000012e-01,9.2156277472527437e-01,-1.7467750000000002e+00,-1.5500730769230768e+00,9.1930000000000012e-01,6.6282129120879130e-01
