e_avg,prob
-8.2999999999999996e-01,4.5000000000000001e-06
-8.1999999999999995e-01,7.5000000000000002e-07
-8.1000000000000005e-01,2.4999999999999999e-07
-8.0000000000000004e-01,1.9999999999999999e-06
-7.9000000000000004e-01,3.0000000000000001e-06
-7.8000000000000003e-01,4.9999999999999998e-07
-7.7000000000000002e-01,2.4999999999999999e-07
-7.6000000000000001e-01,1.7500000000000000e-06
-7.5000000000000000e-01,0.0000000000000000e+00
-7.3999999999999999e-01,1.7500000000000000e-06
-7.2999999999999998e-01,1.0250000000000000e-05
-7.1999999999999997e-01,4.9999999999999998e-07
-7.0999999999999996e-01,1.2500000000000001e-06
-6.9999999999999996e-01,1.5000000000000000e-06
-6.8999999999999995e-01,3.9999999999999998e-06
-6.8000000000000005e-01,9.9999999999999995e-07
-6.7000000000000004e-01,6.2500000000000003e-06
-6.6000000000000003e-01,3.4999999999999999e-06
-6.5000000000000002e-01,2.4999999999999999e-07
-6.4000000000000001e-01,1.2500000000000001e-06
-6.3000000000000000e-01,2.7499999999999999e-06
-6.2000000000000000e-01,1.7500000000000000e-06
-6.0999999999999999e-01,2.4999999999999999e-07
-5.9999999999999998e-01,0.0000000000000000e+00
-5.8999999999999997e-01,2.7499999999999999e-06
-5.7999999999999996e-01,1.5000000000000000e-06
-5.6999999999999995e-01,2.4999999999999999e-07
-5.6000000000000005e-01,4.9999999999999998e-07
-5.5000000000000004e-01,2.4999999999999999e-07
-5.4000000000000004e-01,4.9999999999999998e-07
-5.3000000000000003e-01,0.0000000000000000e+00
-5.2000000000000002e-01,7.5000000000000002e-07
-5.1000000000000001e-01,2.7499999999999999e-06
-5.0000000000000000e-01,7.5000000000000002e-07
-4.8999999999999999e-01,1.5000000000000000e-06
-4.7999999999999998e-01,1.5000000000000000e-06
-4.6999999999999997e-01,3.0000000000000001e-06
-4.6000000000000002e-01,7.5000000000000002e-07
-4.5000000000000001e-01,7.5000000000000002e-07
-4.4000000000000000e-01,0.0000000000000000e+00
-4.2999999999999999e-01,7.5000000000000002e-07
-4.1999999999999998e-01,4.9999999999999998e-07
-4.0999999999999998e-01,7.5000000000000002e-07
-4.0000000000000002e-01,0.0000000000000000e+00
