e_rnd,avg_e_rnd,m_rnd,avg_m_rnd,e_low,avg_e_low,m_low,avg_m_low,e_hig,avg_e_hig,m_hig,avg_m_hig
-1.8140250000000000e+00,-1.5812844827586208e+00,8.0097499999999999e-01,5.7652284482758609e-01,-2.0000000000000000e+00,-1.9969086206896551e+00,1.0000000000000000e+00,9.9922715517241378e-01,-1.7442750000000000e+00,-1.5300637931034484e+00,1.0181250000000000e-01,9.4670689655172377e-02
-1.8233250000000001e+00,-1.5893524999999999e+00,8.1669999999999998e-01,5.8452874999999993e-01,-2.0000000000000000e+00,-1.9970116666666666e+00,1.0000000000000000e+00,9.9925291666666660e-01,-1.7451249999999998e+00,-1.5372325000000002e+00,1.0691250000000001e-01,9.5078749999999962e-02
-1.8300000000000001e+00,-1.5971153225806449e+00,8.2441249999999999e-01,5.9226693548387088e-01,-2.0000000000000000e+00,-1.9971080645161290e+00,1.0000000000000000e+00,9.9927701612903219e-01,-1.7556000000000000e+00,-1.5442766129032259e+00,9.3299999999999994e-02,9.5021370967741908e-02
-1.8430750000000000e+00,-1.6048015624999998e+00,8.5732500000000000e-01,6.0054999999999992e-01,-2.0000000000000000e+00,-1.9971984375000000e+00,1.0000000000000000e+00,9.9929960937499995e-01,-1.7500000000000000e+00,-1.5507054687500001e+00,1.1142500000000000e-01,9.5533984374999978e-02
-1.8580250000000000e+00,-1.6124749999999999e+00,8.9038749999999989e-01,6.0933295454545444e-01,-2.0000000000000000e+00,-1.9972833333333331e+00,1.0000000000000000e+00,9.9932083333333332e-01,-1.7571250000000000e+00,-1.5569606060606063e+00,1.3952500000000001e-01,9.6867045454545428e-02
-1.8687750000000001e+00,-1.6200132352941177e+00,8.9536249999999995e-01,6.1774558823529402e-01,-2.0000000000000000e+00,-1.9973632352941175e+00,1.0000000000000000e+00,9.9934080882352938e-01,-1.7466750000000000e+00,-1.5625404411764710e+00,1.5258749999999999e-01,9.8505882352941151e-02
-1.8700000000000001e+00,-1.6271557142857143e+00,8.9508750000000004e-01,6.2566964285714277e-01,-2.0000000000000000e+00,-1.9974385714285712e+00,1.0000000000000000e+00,9.9935964285714285e-01,-1.7464750000000000e+00,-1.5677957142857144e+00,1.6256250000000003e-01,1.0033607142857141e-01
-1.8700000000000001e+00,-1.6339013888888887e+00,8.9843750000000000e-01,6.3324652777777768e-01,-2.0000000000000000e+00,-1.9975097222222220e+00,1.0000000000000000e+00,9.9937743055555550e-01,-1.7581499999999999e+00,-1.5730833333333336e+00,1.4648749999999999e-01,1.0161805555555554e-01
-1.8734000000000000e+00,-1.6403743243243241e+00,9.1332499999999994e-01,6.4081621621621609e-01,-2.0000000000000000e+00,-1.9975770270270268e+00,1.0000000000000000e+00,9.9939425675675675e-01,-1.7550250000000001e+00,-1.5780006756756759e+00,1.1676249999999999e-01,1.0202736486486486e-01
-1.8925500000000000e+00,-1.6470105263157893e+00,9.5158750000000003e-01,6.4899440789473672e-01,-1.9798000000000000e+00,-1.9971092105263155e+00,9.9495000000000000e-01,9.9927730263157899e-01,-1.7435000000000000e+00,-1.5823559210526319e+00,1.4382500000000001e-01,1.0312730263157895e-01
